Date,Time,HeartRate
2022-12-20,00:13:24,97
2022-12-20,00:13:25,95
2022-12-20,00:13:26,95
2022-12-20,00:13:28,94
2022-12-20,00:13:28,94
2022-12-20,00:13:30,95
2022-12-20,00:13:31,95
2022-12-20,00:13:32,95
2022-12-20,00:13:33,96
2022-12-20,00:13:33,96
2022-12-20,00:13:35,97
2022-12-20,00:13:36,98
2022-12-20,00:13:37,98
2022-12-20,00:13:38,98
2022-12-20,00:13:39,98
2022-12-20,00:13:40,98
2022-12-20,00:13:43,98
2022-12-20,00:13:43,98
2022-12-20,00:13:43,98
2022-12-20,00:13:43,97
2022-12-20,00:13:44,97
2022-12-20,00:13:45,96
2022-12-20,00:13:46,96
2022-12-20,00:13:47,97
2022-12-20,00:13:48,97
2022-12-20,00:13:49,97
2022-12-20,00:13:50,97
2022-12-20,00:13:51,97
2022-12-20,00:13:52,97
2022-12-20,00:13:54,98
2022-12-20,00:13:55,98
2022-12-20,00:13:55,98
2022-12-20,00:13:56,98
2022-12-20,00:13:57,98
2022-12-20,00:13:58,97
2022-12-20,00:14:00,97
2022-12-20,00:14:00,97
2022-12-20,00:14:01,96
2022-12-20,00:14:02,96
2022-12-20,00:14:04,96
2022-12-20,00:14:04,96
2022-12-20,00:14:05,96
2022-12-20,00:14:06,97
2022-12-20,00:14:07,97
2022-12-20,00:14:08,97
2022-12-20,00:14:09,97
2022-12-20,00:14:11,97
2022-12-20,00:14:11,97
2022-12-20,00:14:13,97
2022-12-20,00:14:13,97
2022-12-20,00:14:15,97
2022-12-20,00:14:15,97
2022-12-20,00:14:16,97
2022-12-20,00:14:18,98
2022-12-20,00:14:18,97
2022-12-20,00:14:19,97
2022-12-20,00:14:21,97
2022-12-20,00:14:21,97
2022-12-20,00:14:22,97
2022-12-20,00:14:23,97
2022-12-20,00:14:24,98
2022-12-20,00:14:28,98
2022-12-20,00:14:28,98
2022-12-20,00:14:29,99
2022-12-20,00:14:29,99
2022-12-20,00:14:30,99
2022-12-20,00:14:30,100
2022-12-20,00:14:32,100
2022-12-20,00:14:33,100
2022-12-20,00:14:34,101
2022-12-20,00:14:35,101
2022-12-20,00:14:36,101
2022-12-20,00:14:36,100
2022-12-20,00:14:37,99
2022-12-20,00:14:38,98
2022-12-20,00:14:42,98
2022-12-20,00:14:42,97
2022-12-20,00:14:42,97
2022-12-20,00:14:42,98
2022-12-20,00:14:43,98
2022-12-20,00:14:44,99
2022-12-20,00:14:45,100
2022-12-20,00:14:46,100
2022-12-20,00:14:47,100
2022-12-20,00:14:49,101
2022-12-20,00:14:49,101
2022-12-20,00:14:50,101
2022-12-20,00:14:51,101
2022-12-20,00:14:52,101
2022-12-20,00:14:54,100
2022-12-20,00:14:54,99
2022-12-20,00:14:55,99
2022-12-20,00:14:57,98
2022-12-20,00:14:57,98
2022-12-20,00:14:58,98
2022-12-20,00:14:59,99
2022-12-20,00:15:00,99
2022-12-20,00:15:01,99
2022-12-20,00:15:02,99
2022-12-20,00:15:05,98
2022-12-20,00:15:05,98
2022-12-20,00:15:06,97
2022-12-20,00:15:06,97
2022-12-20,00:15:08,98
2022-12-20,00:15:09,98
2022-12-20,00:15:10,98
2022-12-20,00:15:10,98
2022-12-20,00:15:13,98
2022-12-20,00:15:13,99
2022-12-20,00:15:13,99
2022-12-20,00:15:14,98
2022-12-20,00:15:15,97
2022-12-20,00:15:16,95
2022-12-20,00:15:17,95
2022-12-20,00:15:18,94
2022-12-20,00:15:19,94
2022-12-20,00:15:20,95
2022-12-20,00:15:21,96
2022-12-20,00:15:22,96
2022-12-20,00:15:23,97
2022-12-20,00:15:24,98
2022-12-20,00:15:25,98
2022-12-20,00:15:27,98
